id,target,status,comp_treat,comp,status_comp,fert,light,biomass,root,ini_height,family_tar,family_comp
J8,Alternanthera_philoxeroides,alien,alone,Non,alone,high,low light,2.519,0.098,14.6,Amaranthaceae,Non
J9,Alternanthera_philoxeroides,alien,alone,Non,alone,high,low light,2.712,0.149,8.5,Amaranthaceae,Non
J10,Alternanthera_philoxeroides,alien,alone,Non,alone,high,low light,3.4,0.185,9,Amaranthaceae,Non
J11,Alternanthera_philoxeroides,alien,alone,Non,alone,high,low light,3.162,0.158,11.3,Amaranthaceae,Non
J12,Alternanthera_philoxeroides,alien,alone,Non,alone,high,low light,5.093,0.272,12.6,Amaranthaceae,Non
J13,Alternanthera_philoxeroides,alien,alone,Non,alone,high,low light,2.185,0.102,11.8,Amaranthaceae,Non
J14,Alternanthera_philoxeroides,alien,alone,Non,alone,high,low light,2.396,0.114,12.2,Amaranthaceae,Non
J29,Alternanthera_sessilis,native,alone,Non,alone,high,low light,8.615,0.653,3.2,Amaranthaceae,Non
J30,Alternanthera_sessilis,native,alone,Non,alone,high,low light,8.38,0.602,2.6,Amaranthaceae,Non
J31,Alternanthera_sessilis,native,alone,Non,alone,high,low light,9.634,0.787,2.8,Amaranthaceae,Non
J32,Alternanthera_sessilis,native,alone,Non,alone,high,low light,8.434,0.854,3,Amaranthaceae,Non
J33,Alternanthera_sessilis,native,alone,Non,alone,high,low light,2.961,0.24,3.1,Amaranthaceae,Non
J34,Alternanthera_sessilis,native,alone,Non,alone,high,low light,8.486,0.727,3.3,Amaranthaceae,Non
J35,Alternanthera_sessilis,native,alone,Non,alone,high,low light,12.462,0.976,1.9,Amaranthaceae,Non
J50,Solidago_canadensis,alien,alone,Non,alone,high,low light,1.701,0.334,3.7,Compositae,Non
J51,Solidago_canadensis,alien,alone,Non,alone,high,low light,0.804,0.1,3.5,Compositae,Non
J52,Solidago_canadensis,alien,alone,Non,alone,high,low light,0.388,0.056,2.7,Compositae,Non
J53,Solidago_canadensis,alien,alone,Non,alone,high,low light,1.825,0.31,2.6,Compositae,Non
J54,Solidago_canadensis,alien,alone,Non,alone,high,low light,0.794,0.148,2.7,Compositae,Non
J55,Solidago_canadensis,alien,alone,Non,alone,high,low light,0.73,0.143,2.9,Compositae,Non
J56,Solidago_canadensis,alien,alone,Non,alone,high,low light,1.087,0.149,3.2,Compositae,Non
J71,Solidago_decurrens,native,alone,Non,alone,high,low light,0.157,0.076,3.2,Compositae,Non
J72,Solidago_decurrens,native,alone,Non,alone,high,low light,0.231,0.083,6.3,Compositae,Non
J73,Solidago_decurrens,native,alone,Non,alone,high,low light,0.057,0.015,4.7,Compositae,Non
J74,Solidago_decurrens,native,alone,Non,alone,high,low light,0.107,0.073,4.8,Compositae,Non
J75,Solidago_decurrens,native,alone,Non,alone,high,low light,0.516,0.163,5.7,Compositae,Non
J76,Solidago_decurrens,native,alone,Non,alone,high,low light,0.342,0.12,4.9,Compositae,Non
J77,Solidago_decurrens,native,alone,Non,alone,high,low light,0.089,0.007,4.4,Compositae,Non
J92,Paspalum_notatum,alien,alone,Non,alone,high,low light,4.126,0.217,9.9,Poaceae,Non
