id,comp,target,fert,light,cage_rand1,cage_rand2,biomass,status,comp_treat,family_tar,family_comp
AH_129,Cardamine_hirsuta,Cardamine_hirsuta,low,high light,2,4,0.3203,native,intra,Brassicaceae,Brassicaceae
AH_130,Diplotaxis_muralis,Diplotaxis_muralis,low,high light,4,2,0.729,alien,intra,Brassicaceae,Brassicaceae
AH_131,Galinsoga_parviflora,Galinsoga_parviflora,low,high light,3,1,0.6394,alien,intra,Compositae,Compositae
AH_132,Hieracium_pilosella,Hieracium_pilosella,low,high light,1,4,0.5628,native,intra,Compositae,Compositae
AH_133,Elsholtzia_ciliata,Elsholtzia_ciliata,low,high light,3,4,0.6554,alien,intra,Lamiaceae,Lamiaceae
AH_134,Mentha_longifolia,Mentha_longifolia,low,high light,1,4,1.3112,native,intra,Lamiaceae,Lamiaceae
AH_135,Prunella_vulgaris,Prunella_vulgaris,low,high light,4,4,2.0034,native,intra,Lamiaceae,Lamiaceae
AH_136,Salvia_verticillata,Salvia_verticillata,low,high light,2,1,1.3046,alien,intra,Lamiaceae,Lamiaceae
AH_137,Medicago_falcata,Medicago_falcata,low,high light,3,3,0.2365,native,intra,Leguminosae,Leguminosae
AH_138,Medicago_lupulina,Medicago_lupulina,low,high light,1,1,0.9487,native,intra,Leguminosae,Leguminosae
AH_139,Onobrychis_viciifolia,Onobrychis_viciifolia,low,high light,4,3,0.4312,alien,intra,Leguminosae,Leguminosae
AH_140,Vicia_villosa,Vicia_villosa,low,high light,2,3,0.2267,alien,intra,Leguminosae,Leguminosae
AH_141,Epilobium_ciliatum,Epilobium_ciliatum,low,high light,3,1,0.9041,alien,intra,Onagraceae,Onagraceae
AH_142,Epilobium_hirsutum,Epilobium_hirsutum,low,high light,2,3,1.8123,native,intra,Onagraceae,Onagraceae
AH_143,Eragrostis_minor,Eragrostis_minor,low,high light,1,2,1.5575,alien,intra,Poaceae,Poaceae
AH_144,Vulpia_myuros,Vulpia_myuros,low,high light,4,4,0.8964,native,intra,Poaceae,Poaceae
